tweet_id,author_id,created_at,text,final_intent
2470126,706559,Wed Nov 15 11:08:39 +0000 2017,@AmazonHelp Something was supposed to be delivered today but it says on the order page ‘arrival at incorrect carrier facility’ and to ‘check back tuesday’ (yesterday),delivery_issue
1705395,516907,Mon Nov 06 22:45:42 +0000 2017,@AmazonHelp Thank you 🙌🏻,other
2957011,816249,Wed Nov 29 19:36:39 +0000 2017,@AmazonHelp C’est Amazon Logistics,other
55058,128483,Wed Nov 01 20:08:21 +0000 2017,"@AmazonHelp yes I have been through all of the steps. I will check with nighbours further down the street tomorrow, but no notification of delivery 1/2",delivery_issue
2355213,680435,Tue Nov 14 03:08:58 +0000 2017,@AmazonHelp But kindly help me to get it faster and help me to get it on 16 . I a k so know promise date but can't you do something,delivery_issue
409338,152461,Mon Oct 16 07:33:17 +0000 2017,"@AmazonHelp Well you couldn't resolve the 'issue'"" your colleagues messed me around and even your superiors did. I genuinely feel  worthless to you. :(",complaint_or_escalation
561650,251433,Sat Dec 02 23:14:01 +0000 2017,@AmazonHelp Jk I figured it out ty tho,other
2367926,683416,Mon Nov 13 23:37:25 +0000 2017,@AmazonHelp Voilà j'ai envoyé en message privé,other
388845,122868,Mon Oct 09 15:36:04 +0000 2017,@AmazonHelp Sick of ur response.No need of it.,complaint_or_escalation
685748,283696,Mon Nov 20 16:36:09 +0000 2017,@AmazonHelp MAY I KNOW HOW MANY TIMES I NEED TO UPDATE..I AM NOY GOING TO UPDATE ANY MORE..IF U WANT TO CONTINUE ..U CAN ELSE CLOSE THIS DISCUSSION.,complaint_or_escalation
494124,232821,Fri Dec 01 17:21:23 +0000 2017,@AmazonHelp Made order next Saturday failed to be delivered on Wednesday and Thursday rang yesterday and this afternoon around 12:30 was promised that would be delivered today then rang again this afternoon told be delivered until Monday now been waiting 7 days one of worse customer services,delivery_issue
2853739,791488,Mon Nov 27 20:30:30 +0000 2017,@AmazonHelp none at all 😁,other
394454,182608,Thu Oct 12 17:20:39 +0000 2017,@AmazonHelp No resolution provided. Still facing issue,complaint_or_escalation
69915,131820,Wed Nov 29 14:01:54 +0000 2017,@AmazonHelp Sure. I loved the positive reply! :),other
425185,216160,Tue Nov 21 17:08:45 +0000 2017,@AmazonHelp Yes thanks. I’ve picked it up.,other
1020928,146755,Sun Oct 22 23:03:27 +0000 2017,@AmazonHelp Yes reordered no delivery date and customer services advised they'd speak to the relevant department however 9 days later still no shipment.,delivery_issue
1664818,493914,Mon Nov 06 11:26:52 +0000 2017,@AmazonHelp Thanks,other
182983,159037,Fri Sep 29 19:15:52 +0000 2017,@AmazonHelp What is the status still no response,order_status
2338692,413685,Fri Oct 20 08:23:46 +0000 2017,@AmazonHelp I want it today else cancel it,delivery_issue
