tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent
315275,191151,True,Sat Oct 07 08:00:34 +0000 2017,@AmazonHelp @115850 thanks my query has been resolved.. 😀 Look forward to shop more,315277,315274.0,other
668492,279394,True,Thu Nov 23 04:25:22 +0000 2017,"@AmazonHelp Then why you claim of next day delivery, stop fooling people @AmazonHelp @115850 This order was a next day delivery order, and now you request me to wait for the time frame and the irony is that you are hopeful",668494,668491.0,delivery_issue
312989,190746,True,Sat Oct 07 07:41:25 +0000 2017,"@AmazonHelp Did while having a chat on FB, was informed will get back, nothing happened","312990,312991,312992",312987.0,complaint_or_escalation
27898,122104,True,Wed Nov 01 11:29:39 +0000 2017,@AmazonHelp Are you going to be offering anything to your Puerto Rican customers for delayed/missing orders in the aftermath? Zero point in having prime,,27897.0,delivery_issue
304638,124163,True,Sat Nov 04 04:13:51 +0000 2017,"@AmazonHelp Not helpful! I need the wrong shipment to be picked ASAP, not dropping it anywhere. FIX IT!",304636,304641.0,return_or_cancellation
2676823,753387,True,Tue Oct 31 14:24:54 +0000 2017,"@AmazonHelp Yeah like I said, useless.",,2676822.0,complaint_or_escalation
1689740,513010,True,Tue Oct 17 18:18:10 +0000 2017,@AmazonHelp Associate told me that the item wasn't @ a distribution center near me &amp; that I should know that Prime applies to date item is shipped.,1689741,1689739.0,prime_membership
2383252,687014,True,Wed Nov 15 09:37:48 +0000 2017,"@AmazonHelp I couldn't contact due to your faulty IVRS, I only mailed them as you said, Today is my second day of wearing floaters @95892 chappals, all the staff members are staring at me and laughing behind my back, I can't bear the humiliation any more, Kindly arrange urgent replacemt",2383253,2383251.0,product_issue
500811,234628,True,Fri Dec 01 19:43:04 +0000 2017,@AmazonHelp Yes it came today,500813,500810.0,other
67532,131420,True,Thu Nov 30 11:57:59 +0000 2017,@AmazonHelp That link is re reporting a suspicious email?,,67531.0,technical_support
2402359,691155,True,Tue Nov 14 14:51:12 +0000 2017,@AmazonHelp No Till now..I got my product today n when I saw its completely different from wht I've ordered. Color n quality both r disappointing,2402360,2402358.0,product_issue
1524027,473473,True,Sat Nov 04 21:26:45 +0000 2017,@AmazonHelp Still waiting. Not what I call next day delivery.,1524028,1524025.0,delivery_issue
1007047,358304,True,Sun Oct 22 19:47:45 +0000 2017,@AmazonHelp Si un par de mensajes y sin respuesta. No quiero la devolución quiero mi pedido. Gracias,"1007046,1007048",1007049.0,order_status
1646273,503029,True,Mon Nov 06 19:41:53 +0000 2017,@AmazonHelp The order says it was delivered yesterday. A refund was issued.,1646275,1646272.0,refund
2931363,810812,True,Wed Nov 29 08:44:27 +0000 2017,@AmazonHelp Just a general question. When you call Amazon and request a U. S representatives you can’t get one because the offices are closed.,2931366,2931362.0,other
1760551,528900,True,Tue Nov 07 20:01:26 +0000 2017,@AmazonHelp I order from the uk so i guess its .co.uk,1760553,1760550.0,other
2367957,683421,True,Mon Nov 13 23:34:34 +0000 2017,@AmazonHelp It says it shipped today… a week after release. Next time ill go to a store to buy a preordered system. Geez… https://t.co/pwVtAeyeB3,2367959,2367956.0,delivery_issue
1078202,374354,True,Mon Oct 23 17:57:24 +0000 2017,@AmazonHelp I've already shared the details contains Amazon invoice and Apple service centre feedback. Pls check and response asap.,1078203,1078197.0,product_issue
1232102,359661,True,Mon Oct 16 01:35:20 +0000 2017,"@AmazonHelp Is product was with me?
Why u sent my location after cancellation of 14 hrs?
You knew it I don't have any option for Amazon pay
#amazonpay https://t.co/S4pWaLbPpz","1232104,1232105,1232106",1232101.0,payment_or_billing
