customer_tweet_id,customer_text,response_tweet_id,response_text,customer_text_clean
585724,@AmazonHelp How do I select power down?,585723.0,"@187903 Power down will switch it off, then when off just start as normal via the power button and you should be good to go. Let us know. ^BD",How do I select power down?
727852,@AmazonHelp Yes..I have lodged complain on 3rd Oct itself but still there is no solution.,727851.0,"@294369 Apologies for the hassle, Tushar. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^SF",Yes..I have lodged complain on 3rd Oct itself but still there is no solution.
274221,"@AmazonHelp ¡Todo! Pero principalmente el paquete del 50 Aniversario de Star Trek T.O.S.

Y a un gran precio.
¡Felicidades por su tremendo servicio!",274222.0,"@181522 No lo sabíamos Cristian, pero nos has dejado encantados 😍 Cuéntanos, ¿Qué ha sido lo mejor que has comprado? 😊 ^AV https://t.co/uvY8dl2kCY",¡Todo! Pero principalmente el paquete del 50 Aniversario de Star Trek T.O.S. Y a un gran precio. ¡Felicidades por su tremendo servicio!
2261642,"@AmazonHelp ""reach out"", does that mean contact you? I'll try. No guarantees.",2261643.0,@306845 We'd like to take a closer look at this with you. Please reach out to us at your conveninence here: https://t.co/hApLpM3Ejd ^LJ,"""reach out"", does that mean contact you? I'll try. No guarantees."
432271,@AmazonHelp Nobody is taking any action!,432270.0,@217812 I am sorry to know about the inconvenience. Please fill in the details in the link provided to you earlier. (1/3) ^MD,Nobody is taking any action!
69756,@AmazonHelp  https://t.co/ayGD2MEsYw,69755.0,"@131801 Oje, da ist wohl etwas schief gegangen. Melde dich doch bitte hier: https://t.co/va1VRoK7GS und die Kollegen prüfen, was da los ist. ^DW",https://t.co/ayGD2MEsYw
1178871,@AmazonHelp I just spent over an hour in chat because the locker you have on you site doesn’t exists I have been lied to since Friday,1178868.0,@397274 Oh no! What happened? ^DA,I just spent over an hour in chat because the locker you have on you site doesn’t exists I have been lied to since Friday
1583653,@AmazonHelp It’s not there at all now. It was earlier and has been there since I ordered on Thursday. I have the confirmation email. Why has it gone?,1583652.0,@481867 What's the current tracking shown here: https://t.co/aaDyEzjw8c? ^AG,It’s not there at all now. It was earlier and has been there since I ordered on Thursday. I have the confirmation email. Why has it gone?
1495576,@AmazonHelp I understand not everything can be perfect ever but messing up 3 times just comes across as incompetent,1495574.0,"@467258 I'm sorry for the poor experience! Without including any account details, can you tell us more about what's happened? ^ZW",I understand not everything can be perfect ever but messing up 3 times just comes across as incompetent
2116139,@AmazonHelp All I want is estimated delivery times and to know why my items haven't been sent as one package. There is also an item missing.,2116138.0,@623790 This isn't what we like to hear! Can you pls tell us more about what's going on without posting account sensitive information? ^KJ,All I want is estimated delivery times and to know why my items haven't been sent as one package. There is also an item missing.
290460,@AmazonHelp It was supposed to announce by 15th September,290459.0,"@184859 The results are not yet announced, we're working on it and we'll announce the winners soon. Stay tuned. ^SQ",It was supposed to announce by 15th September
439329,@AmazonHelp i have given the details from the registered email id. lets see how prompt are you at solving the issue now and what is your resolution.,439328.0,"@219329 I understand your concern, Aashis. We'll get back to you once we receive the details. Appreciate your understanding. ^HD",i have given the details from the registered email id. lets see how prompt are you at solving the issue now and what is your resolution.
1276249,@AmazonHelp Can you see that the book on SAP ABAP that I ordered has an expected date of delivery as 18th ?,1276247.0,"@131541 Sorry to know you've received a different product, Pranjal. Please reach us from here: https://t.co/rS49hgaADF we'll assist. ^SV",Can you see that the book on SAP ABAP that I ordered has an expected date of delivery as 18th ?
520642,"@AmazonHelp Yes.  Prime order made on the 29th.  Deliver is the 4th of Dec?  Order #702-7755580-8617807.
Why bother paying for prime?",520644.0,"@240186 Without posting account information, what's the date and most recent tracking here: https://t.co/PyACxvGxrO? Have we missed the delivery date given? ^LI",Yes. Prime order made on the 29th. Deliver is the 4th of Dec? Order #702-7755580-8617807. Why bother paying for prime?
654270,@AmazonHelp Can you DM please as this issue is still not resolved and I would like to talk to someone who’s from England please as no one has helped!!,654266.0,"@157017 I'm sorry to hear that the conversation did not go well. Is there anyone who can print return labels for you (family member, cafe or library)? ^SE",Can you DM please as this issue is still not resolved and I would like to talk to someone who’s from England please as no one has helped!!
1638665,"@AmazonHelp Yea They read me that sspeach over 2 weeks ago I have called in, I have emailed the seler Wich i should not have too a i order thru you",1638662.0,"@500330 Apologies - If you do not receive the order or a refund, you are covered by our A-Z Guarantee, pls see: https://t.co/xFL9SmBHQ0 ^TD","Yea They read me that sspeach over 2 weeks ago I have called in, I have emailed the seler Wich i should not have too a i order thru you"
2385494,"@AmazonHelp since you declined my bank's chargeback request, you must have solved the problem",2385492.0,@426272 your details. Our team will get back to you on high priority. Request you to kindly wait for an update. 2/2 ^RS,"since you declined my bank's chargeback request, you must have solved the problem"
2341953,@AmazonHelp Oh seule moi je goûte lol,2341952.0,@677420 Oh joli prénom 👩‍🍳 Notre chef pâtissier a déjà préparé des gâteaux ? Seule ou assistée par maman ? ^ASZ,Oh seule moi je goûte lol
1186489,@AmazonHelp A feature that would be 'useful' on lists. At least I think it would be.,1186488.0,"@398996 Absolutely, Zeus! Is there a specific kind you'd like to give or just general? ^RM",A feature that would be 'useful' on lists. At least I think it would be.
1763205,@AmazonHelp That was even more useless than chat. Give me my refund,1763203.0,@530477 I'm sorry for the experience. My team would like to look into further. Please provide more info here: https://t.co/nuAqQ7sA1P ^EB,That was even more useless than chat. Give me my refund
2192456,"@AmazonHelp I already did, I got hung up on. Called back, then was told money wasn't taken out my account (lie) and then cancelled my prime membership.",2192457.0,@641722 Please contact us: https://t.co/hApLpMlfHN so we can look into this further with you. ^CO,"I already did, I got hung up on. Called back, then was told money wasn't taken out my account (lie) and then cancelled my prime membership."
179154,@AmazonHelp Ohkk plzz solve my matter ASAP,179153.0,"@158239 As you've responded to the email, we'll work on it and get back to you. ^HN",Ohkk plzz solve my matter ASAP
1037054,@AmazonHelp ありがとうございます。電話での対応をしていただきました。,1037053.0,"@365329 ご心配をおかけしております。
Twitter上では、お客様のアカウントの詳細が確認できません。一度、確認のうえ対応させていただければと存じますので、よろしければ、カスタマーサービスにご連絡ください。https://t.co/bwBU0NvYIn TY",ありがとうございます。電話での対応をしていただきました。
2970547,"@AmazonHelp I hope you do and not saying this to appease me.  If I could tip him/pay him myself as a Thank You I would.  He truly deserves it.   Your chat support though, it needs to be torn down and rebuilt, it's all wrong.",2970546.0,@819366 That's fantastic! I'm so glad that Chris was able to turn your day around. We'll make sure he's properly recognized. 😊 ^FD,"I hope you do and not saying this to appease me. If I could tip him/pay him myself as a Thank You I would. He truly deserves it. Your chat support though, it needs to be torn down and rebuilt, it's all wrong."
283989,@AmazonHelp Seems like you don't. You folks gave me a wrong Amazon Agent number. And I'm reporting it.,283988.0,"@183640 Nishit, I understand your concern, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^BV",Seems like you don't. You folks gave me a wrong Amazon Agent number. And I'm reporting it.
695102,"@AmazonHelp Link you sent me is for Amazon Canada - item was apparently processed via Amazon USA, so it only shows up in the US account login. No idea why it was returned. If I was not present other staff would accept package at front desk.",695101.0,"@244463 Terribly sorry for your delivery experience with us, Kevin! Let's see what options we have to get this sorted here: https://t.co/Q7Ftz6nj80 ^JZ","Link you sent me is for Amazon Canada - item was apparently processed via Amazon USA, so it only shows up in the US account login. No idea why it was returned. If I was not present other staff would accept package at front desk."
294249,"@AmazonHelp Why r u scared replying here?.And by the way you have to revert &amp; refund rs.38999,  I have to do nothing.So better focus on solving my issue",294247.0,"@185733 Hence, for any update, please revert our email and we'll get back to you. [2/2] ^HA","Why r u scared replying here?.And by the way you have to revert &amp; refund rs.38999, I have to do nothing.So better focus on solving my issue"
1383860,"@AmazonHelp Royal Mail, their customer service takes hours to respond 😩",1383859.0,@442053 Hey Zoe. Who is the carrier in question? Have you reached out to them directly? ^TP,"Royal Mail, their customer service takes hours to respond 😩"
2937420,"@AmazonHelp I guessed it should do but it doesn’t, both take me to ‘all orders’",2937419.0,"@358702 Hi, Jo! When you click on the link in the original message sent, it should take you directly to the order that is delayed. If you use the link we provided, it will show you all your orders, and then you would use the Track Package option to find the delayed one. ^SP","I guessed it should do but it doesn’t, both take me to ‘all orders’"
438884,@AmazonHelp It was returned mid August. Hermes collected it.,438885.0,"@219262 Hi Ben, how long ago was the item collected? ^RL",It was returned mid August. Hermes collected it.
1050451,@AmazonHelp Pt 2 said would call me back at 10am have received no call. I have called twice been cut off twice now told can't even find my parcel. 2 days late missed the event what's the point in prime if you use shit @122232,1050454.0,@368252 What happened? ^AT,Pt 2 said would call me back at 10am have received no call. I have called twice been cut off twice now told can't even find my parcel. 2 days late missed the event what's the point in prime if you use shit
